source,target
"trembling, shortness of breath and restlessness for a week",anxiety
"frequent urination, blurred vision, fatigue, increased thirst for a week",diabetes
"itchy eyes, sneezing, nasal congestion for a week",allergic_rhinitis
"Patient reports wheezing, shortness of breath, night cough, chest tightness",asthma
"restlessness, rapid heartbeat, trembling",anxiety
I have dry skin and itchy skin,eczema
"stomach cramps, diarrhea, vomiting",gastroenteritis
nosebleed,hypertension
"diarrhea, stomach cramps, nausea and vomiting",gastroenteritis
"lower abdominal pain, burning urinat",urinary_tract_infection
fever since yesterday,covid-19
"Complains of fever, chest pain, shortness of breath",pneumonia
"fever, sleep disturbance, fatigue, loss of interest, persistent sadness",depression
"pale skin, shortness of breath, fatigue, dizziness",anemia
"Complains of body ache, fever and cough",influenza
"Complains of shortness of breath, chest tightness",asthma
"chest pain, shortness of breath, sweating, left arm pain",heart_disease
"runny nose, mild cough for several months",common_cold
"moderate blurred vision, increased thirst, frequent urination, fatigue, weight loss",diabetes
fever and hearing difficulty,otitis_media
"urgency, sneezing, frequent urination, burning urination for a week",urinary_tract_infection
"persistent cough, shortness of breath",bronchitis
"mild cough, sneezing and runny nose",common_cold
"fatigue, runny nose, sore throat, fever, body ache for a week",influenza
"frequent urination, lower abdominal pain, burning urination, urgency",urinary_tract_infection
"Patient reports rapid heartbeat, sweating, trembling, restlessness",anxiety
fatigue and persistent sadness,depression
"chest pain, sweating, shortness of breath, left arm pain",heart_disease
"I have shortness of breath, chest tightness, night cough and wheezing",asthma
"runny nose, nasal congestion",allergic_rhinitis
night cough,asthma
"Patient reports itchy skin, runny nose, nasal congestion, blisters, sneezing, itchy eyes",allergic_rhinitis
visual aura,migraine
"weight loss, pale skin, shortness of breath, fatigue, blurred vision and frequent urination",diabetes
pale skin and fatigue,anemia
rapid heartbeat and sweating,anxiety
fatigue and shortness of breath,depression
"bone pain, fractures, loss of height, back pain for 2 days",osteoporosis
"sensitivity to light, nausea, severe headache since yesterday",migraine
moderate mucus,bronchitis
"red patches, blisters, itchy skin, dry skin",eczema
"Patient reports blurred vision, blurred vision, weight loss, increased thirst",diabetes
"dry skin, itchy skin and red pat",eczema
"Patient reports sweating, shortness of breath and left arm pain",heart_disease
"severe headache, sensitivity to light",migraine
"loss of taste, dry cough",covid-19
"itchy skin, blisters and red patches",eczema
"fatigue, chills, fever, sore throat, body ache, cough",influenza
"chest discomfort, mucus, persistent cough",bronchitis
"mucus, persistent cough, shortness of breath and chest discomfort",bronchitis
"chest discomfort, shortness of breath, mucus",bronchitis
"red patches, chest pain, blisters, itchy skin",eczema
"restlessness, rapid heartbeat, trembling",anxiety
"Patient reports wheezing, shortness of breath, night cough, chest tightness",asthma
Patient reports nasal congestion and runny nose for a week,common_cold
I have mild cough,common_cold
Complains of shortness of brea,heart_disease
"headache, dizziness, ear drainage",hypertension
chest pain,heart_disease
sneezing,common_cold
"dry skin, red patches, persistent sadness",depression
"runny nose, itchy eyes for 2 days",allergic_rhinitis
"productive cough, shortness of breath and fever",pneumonia
"chest pain, productive cough",pneumonia
I have chest tightness,asthma
"frequent urination, weight loss",diabetes
"vomiting, diarrhea, nausea and stomach cramps",gastroenteritis
"urgency, burning urination, lower abdominal pain",urinary_tract_infection
persistent cough,depression
loss of interest for 2 days,depression
"ear pain, fever, hearing difficulty, ear drainage since yesterday",otitis_media
"moderate fever, ear pain, hearing difficulty, ear drainage",otitis_media
"fatigue, back pain for several months",osteoporosis
vomiting since yesterday,gastroenteritis
"mild itchy eyes, nasal congestion, sneezing and runny nose",allergic_rhinitis
"hearing difficulty, ear pain",otitis_media
"cough, fatigue, fever, body ache, sore throat",influenza
"increased thirst, fatigue, weight loss, frequent urination, blurred vision",diabetes
"rapid heartbeat, sweating, restlessness, trembling",anxiety
"severe headache, visual aura and shortness of breath",migraine
"nausea, cough, fever, loss of appetite, fever and ",appendicitis
"urgency, frequent urination",urinary_tract_infection
"fever, cough",influenza
"shortness of breath, dizziness, pale skin",anemia
"moderate cough, chills, fever, fatigue",influenza
"ear pain, back pain, hearing difficulty",otitis_media
"sweating, frequent urination, rapid heartbeat",anxiety
"Complains of body ache, productive cough",influenza
mild chest discomfort and persistent cough for a week,bronchitis
persistent cough since yesterday,bronchitis
"itchy eyes, sneezing, nasal congestion and runny nose",allergic_rhinitis
"nasal congestion, sneezing, lower abdominal pain for 2 days",common_cold
"moderate dizziness, blurred vision and sneezing",hypertension
"visual aura, nausea",migraine
"Patient reports nasal congestion, runny nose, sneezing and mild cough",common_cold
pale skin for 2 days,anemia
stomach cramps for several months,gastroenteritis
"mild cough, nasal congestion",common_cold
"mucus, shortness of breath, persistent cough and chest discomfort",bronchitis
"rapid heartbeat, mild cough, sneezing, nasal congestion, runny nose, sweating for a week",common_cold
"burning urination, frequent urination",urinary_tract_infection
visual aura since yesterday,migraine
"ear drainage, fever and hearing difficulty",otitis_media
"fever, loss of appetite, right lower abdominal pain, nausea",appendicitis
"Complains of fatigue, fever, cough",influenza
chest pain,heart_disease
"fever, loss of taste, dry cough, fatigue, loss of smell",covid-19
"moderate blisters, red patches and dry skin",eczema
"Patient reports fatigue, loss of interest since yesterday",depression
"fatigue, restlessness",anxiety
"itchy eyes, nasal congestion, sneezing and run",allergic_rhinitis
"headache, nosebleed, bone pain, blurred vision, back pain",hypertension
"frequent urination, fatigue, increased thirst",diabetes
"blisters, itchy skin, red patches, dry skin",eczema
dry skin,eczema
"productive cough, chest pain, shortness of breath since yesterday",pneumonia
frequent urination,urinary_tract_infection
"sweating, restlessness, trembling, rapid heartbeat,",anxiety
"I have dry skin, red patches, pale skin, fatigue, dizziness, shortness of breath",anemia
"dry skin, blisters, red patches, itchy skin",eczema
"fever, ear drainage, hearing difficulty",otitis_media
Patient reports sneezing,common_cold
"severe stomach cramps, diarrhea since yesterday",gastroenteritis
"itchy eyes, sneezing, nasal congestion, runny nose",allergic_rhinitis
"severe headache, sensitivity to light and nausea",migraine
"sore throat, fatigue, cough, chills and body ache",influenza
dry skin and red patches,eczema
"fever, loss of taste, dry cough, fatigue",covid-19
severe pale skin,anemia
"loss of taste, loss of smell, fever, dry cough for 2 days",covid-19
Complains of dry skin and itchy skin,eczema
"fever, ear pain, ear drainage",otitis_media
"night cough, productive cough, shortness of breath for a week",pneumonia
"chest pain, fever, shortness of breath",pneumonia
"Patient reports body ache, blurred vision, fatigue, fever, chills, headache",influenza
"shortness of breath, wheezing, chest tightness, night cough for a week",asthma
left arm pain and shortness of breath,heart_disease
"loss of interest, sleep disturbance, persistent sadness",depression
"sleep disturbance, fatigue, loss of interest, persistent sadness",depression
frequent urination,diabetes
dry cough and fever,covid-19
"dizziness, fatigue, pale skin, shortness of breath",anemia
"severe ear pain, ear drainage",otitis_media
"severe sensitivity to light, wheezing, night cough, chest tightness, visual aura",asthma
"body ache, fever, fatigue and chills",influenza
"runny nose, nasal congestion, itchy eyes",allergic_rhinitis
chest pain,heart_disease
"mild fatigue, fever",covid-19
"mild cough, sneezing and nasal congestion",common_cold
sweating and rapid heartbeat,anxiety
"fatigue, increased thirst",diabetes
"dry cough, fatigue and fever",covid-19
"Patient reports fatigue, fever and dry cough",covid-19
"nasal congestion, sneezing, mild cough, runny nose",common_cold
"I have mild diarrhea, nausea and stomach cramps",gastroenteritis
"nosebleed, sensitivity to light, severe headache, headache",hypertension
"I have blurred vision, sneezing, mild cough for a week",common_cold
chest tightness,anemia
body ache,influenza
"fractures, back pain",osteoporosis
dry skin,eczema
shortness of breath,asthma
body ache,influenza
"loss of interest, fatigue, sleep disturbance, persistent sadness",depression
"fever, right lower abdominal pain",appendicitis
nasal congestion,allergic_rhinitis
wheezing,asthma
"sweating, left arm pain, shortness of breath and chest pain",heart_disease
"dizziness, headache and nosebleed",hypertension
"nasal congestion, sneezing, runny nose",common_cold
Patient reports shortness of breath,bronchitis
mild productive cough,pneumonia
Complains of headache,hypertension
loss of appetite,appendicitis
"Patient reports itchy eyes, runny nose, nasal congestion, sneezing",allergic_rhinitis
"shortness of breath, fatigue, pale skin, dizziness",anemia
fatigue and fever for 2 days,covid-19
"chills, sore throat, cough",influenza
"persistent sadness, fatigue",depression
"severe headache, nausea, sensitivity to light, visual aura",migraine
visual aura,migraine
"I have blurred vision, dizziness",hypertension
Patient reports nausea,appendicitis
"sore throat, cough, nasal congestion",influenza
I have sweating,anxiety
"ear pain, fever, hearing difficulty for 2 days",otitis_media
"fever, productive cough",pneumonia
"moderate persistent cough, shortness of breath, chest discomfort",bronchitis
"Complains of vomiting, nausea and diarrhea",gastroenteritis
"fever, ear drainage, hearing difficulty, fever, right lower abdominal pain, ear pain",otitis_media
"sensitivity to light, visual aura, nausea",migraine
"shortness of breath, chest discomfort, persistent cough for several months",bronchitis
"Complains of runny nose, mild cough, nasal congestion, sneezing",common_cold
mild body ache,influenza
"night cough, headache, nosebleed, dizziness and blurred vision",hypertension
vomiting for a week,gastroenteritis
"Complains of right lower abdominal pain, nausea, fever, loss of appetite",appendicitis
ear pain and fever since yesterda,otitis_media
dizziness,anemia
loss of interest and sleep disturbance,depression
"sneezing, night cough, wheezing, shortness of breath and chest tightness",asthma
"chills, sore throat",influenza
"chest tightness, nasal congestion, night cough, runny nose, sneezing",allergic_rhinitis
"fatigue, chills, body ache, sore throat, loss of taste, cough",influenza
"pale skin, dizziness, fatigue",anemia
"fever, body ache, fatigue, cough, sore throat",influenza
blurred vision,diabetes
"mild dry skin, itchy skin",eczema
"red patches, dry skin, itchy skin",eczema
"persistent cough, headache, blurred vision",bronchitis
"lower abdominal pain, burning urination, urgency, frequent urination",urinary_tract_infection
nausea,migraine
"body ache, nausea, fatigue and chills",influenza
"itchy eyes, sneezing",allergic_rhinitis
"headache, restlessness, blurred vision",hypertension
shortness of breath and wheezing,asthma
"mucus, persistent cough",bronchitis
"body ache, chills, sore throat, cough, fever for several months",influenza
"headache, blurred vision",hypertension
"nausea, visual aura",migraine
sleep disturbance,depression
trembling,anxiety
"weight loss, increased thirst and fati",diabetes
"pale skin, fatigue, dizziness, shortness of breath, mucus",anemia
left arm pain,heart_disease
"ear drainage, ear pain, loss of taste",otitis_media
body ache,influenza
severe nasal congestion,allergic_rhinitis
"chest tightness, wheezing and night cough",asthma
"loss of appetite, nausea, right lower abdominal pain, fever for a week",appendicitis
"mild visual aura, sensitivity to light and severe headache",migraine
"loss of smell, fever for 2 days",covid-19
stomach cramps,gastroenteritis
"blurred vision, nosebleed, headache",hypertension
"mild fever, fatigue and chest pain",pneumonia
"dizziness, nosebleed, headache, blurred vision",hypertension
"severe headache, nausea, sensitivity ",migraine
"nausea, visual aura, severe headache, sensitivity to light",migraine
"Patient reports pale skin, fatigue, shortness of breath",anemia
"chest discomfort, mucus, persistent cough, shortness of breath for a week",bronchitis
Complains of nausea and vomiting,gastroenteritis
sweating and left arm pain,heart_disease
severe fractures,osteoporosis
"fatigue, sleep disturbance, loss of interest, persistent sadness",depression
Patient reports itchy skin,eczema
"fatigue, cough, chills and sore throat",influenza
"runny nose, nasal congestion, itchy eyes",allergic_rhinitis
diarrhea,gastroenteritis
"chest pain, sweating and left arm pain since yesterday",heart_disease
"Complains of loss of height, fractures and bone pain",osteoporosis
"hearing difficulty, fever",otitis_media
"fatigue, loss of taste, fever",covid-19
"loss of appetite, right lower abdominal pain, fever and nausea for a week",appendicitis
"back pain, bone pain, loss of height, fractures since yesterday",osteoporosis
"mucus, chest discomfort",bronchitis
"fever, ear drainage since yesterday",otitis_media
"increased thirst, weight loss, frequent urination, lower abdominal pain, blurred vision, fatigue",diabetes
fatigue,depression
"severe fatigue, runny nose, pale skin, dizziness and shortness of breath since yesterday",anemia
Patient reports ear drainage for a week,anxiety
"lower abdominal pain, urgency, burning urination, frequent urination",urinary_tract_infection
"fatigue, body ache",influenza
"shortness of breath, burning urination",urinary_tract_infection
"nausea, rapid heartbeat, restlessness",anxiety
"Complains of nausea, visual aura, sensitivity to light",migraine
"ear pain, fatigue, loss of interest, persistent sadness, sleep disturbance",depression
"loss of smell, fever, dry cough, loss of taste",covid-19
"nausea, visual aura, sensitivity to light and severe headache",migraine
"runny nose, wheezing, nasal congestion, sneezing, itchy eyes and chest tightness",allergic_rhinitis
"mild blisters, dry skin, red patches, itchy skin",eczema
I have nausea,appendicitis
"sleep disturbance, persistent sadness, loss of interest, fatigue for 2 days",depression
"restlessness, rapid heartbeat, sweating, trembling",anxiety
"mild nosebleed, fatigue, dizziness and loss of interest",depression
"wheezing, chest tightness, night coug",asthma
Patient reports mild cough,common_cold
"nasal congestion, sneezing, mild cough and runny nose",common_cold
"stomach cramps, vomiting, diarrhea, nausea",gastroenteritis
"fever, ear pain",otitis_media
persistent cough,bronchitis
lower abdominal pain,urinary_tract_infection
"severe itchy eyes, back pain",osteoporosis
fever and loss of taste,covid-19
dry skin for 2 days,eczema
"persistent sadness, loss of interest",depression
"frequent urination, blurred vision",diabetes
"fever, loss of taste, severe headache",covid-19
"visual aura, sensitivity to light, severe headache, nausea",migraine
"productive cough, blisters, red patches and itchy skin for a week",eczema
"runny nose, itchy eyes, nasal congestion for 2 days",allergic_rhinitis
"Complains of fatigue, pale skin, shortness of breath",anemia
dry cough,covid-19
"I have fatigue, sleep disturbance",depression
"vomiting, fatigue",influenza
"loss of taste, burning urination, fever, dry cough",covid-19
"visual aura, sensitivity to light and nausea",migraine
"Patient reports dry skin, hearing difficulty, fever, itchy skin, red patches and blisters for 2 days",eczema
"pale skin, dizziness, fatigue, shortness of breath",anemia
"chills, fatigue, sore throat, body ache, fever",influenza
"Complains of weight loss, blurred vision, frequent urination, bone pain, increased thirst",diabetes
"frequent urination, lower abdominal pain, burning urination, urgency",urinary_tract_infection
burning urination,urinary_tract_infection
"frequent urination, urgency, nausea, burning urination, lower abdominal pain",urinary_tract_infection
"nasal congestion, itchy eyes and sneezing",allergic_rhinitis
"dizziness, diarrhea, stomach cramps, nausea",gastroenteritis
"fever, nausea, loss of appetite, right lower abdomi",appendicitis
"mild dry cough, productive cough, shortness of breath, chest pain",pneumonia
"chest pain, vomiting, shortness of breath",gastroenteritis
"dizziness, nosebleed, headache, blurred vision",hypertension
"sneezing, nasal congestion, runny nose",allergic_rhinitis
"shortness of breath, left arm pain and chest pain",heart_disease
"red patches, fractures, bone pain, loss of height",osteoporosis
"burning urination, lower abdominal pain, urgency and frequent urination",urinary_tract_infection
"increased thirst, frequent urination, blurred vision, weight loss, fatigue",diabetes
dizziness,hypertension
left arm pain,anemia
"moderate mild cough, body ache, nasal congestion, runny nose",common_cold
shortness of breath and left ar,heart_disease
"diarrhea, vomiting, nausea, stomach cramps",gastroenteritis
"I have visual aura, nausea, severe headache",migraine
"increased thirst, blisters",diabetes
"diarrhea, vomiting, stomach cramps for a week",gastroenteritis
"sneezing, nasal congestion and runny nose for a week",common_cold
fatigue,depression
dizziness and headache,hypertension
"visual aura, nausea, severe headache, sensitiv",migraine
"visual aura, nausea, sensitivity to light and severe headache",migraine
"loss of smell, loss of taste, fatigue, pale skin, fever and dry cough",covid-19
"fever, hearing difficulty",otitis_media
"moderate fatigue, dry cough, fever, loss of taste, loss of smell",covid-19
shortness of breath,anemia
"sweating, restlessness",anxiety
"ear drainage, hearing difficulty for 2 days",otitis_media
"stomach cramps, diarrhea and vomiting",gastroenteritis
"urgency, frequent urination, chest pain, lower abdominal pain",urinary_tract_infection
"Complains of rapid heartbeat, sweating, trembling",anxiety
ear drainage,otitis_media
"nasal congestion, runny nose, sneezing, itchy eyes",allergic_rhinitis
"nausea, visual aura, severe headache",migraine
shortness of breath,bronchitis
"rapid heartbeat, sweating and restlessn",anxiety
"chest pain, red patches, sweating, shortness of breath for 2 days",heart_disease
shortness of breath,heart_disease
"I have mild dizziness, shortness of breath",anemia
vomiting and diarrhea,gastroenteritis
"red patches, blisters",eczema
"shortness of breath, wheezing for 2 days",asthma
"loss of interest, fatigue",depression
"chest discomfort, persistent cough",bronchitis
"I have wheezing, shortness of breath and night cough",asthma
"back pain, fractures, bone pain and l",osteoporosis
"lower abdominal pain, frequent urination, burning urination",urinary_tract_infection
"chest pain, shortness of breath",pneumonia
"I have moderate shortness of breath, left arm pain, sweating, chest pain",heart_disease
"vomiting, diarrhea, stomach cramps",gastroenteritis
"increased thirst, fatigue, blurred vision, frequent urination, weight loss",diabetes
"loss of interest, sleep disturbance, persistent sadness",depression
"fever, ear drainage, ear pain since yesterday",otitis_media
"I have hearing difficulty, ear pain, fever and ear drainage",otitis_media
nasal congestion for 2 days,allergic_rhinitis
loss of appetite,appendicitis
severe sneezing,allergic_rhinitis
"fatigue, loss of taste, fever and trembling",covid-19
"ear drainage, ear pain, hearing difficulty, fever",otitis_media
"fever, fatigue, body ache, chills, cough, sore throat",influenza
"bone pain, loss of height",osteoporosis
"moderate visual aura, severe headache, sensitivity to light, nausea",migraine
shortness of breath,pneumonia
"nausea, right lower abdominal pain, fever, loss of appetite for 2 days",appendicitis
"rapid heartbeat, sweating",anxiety
"frequent urination, lower abdominal pain, burning urination, shortness of breath",urinary_tract_infection
"severe burning urination, blurred vision, headache, frequent urination",urinary_tract_infection
pale skin,anemia
"severe mild cough, fever, chest pain, shortness of breath, productive cough",pneumonia
"moderate urgency, lower abdominal pain for 2 days",urinary_tract_infection
"fatigue, dizziness, pale skin for a week",anemia
"fractures, loss of height and back pain",osteoporosis
night cough and shortness of breath,asthma
"left arm pain, chest pain, sweating, shortness of breath",heart_disease
"blurred vision, frequent urination",diabetes
"Complains of moderate body ache, fever, sore throat, fatigue, cough",influenza
"fatigue, cough, chills, sore throat",influenza
hearing difficulty,otitis_media
"I have mild cough, runny nose, sneezing and nasal congestion",common_cold
"pale skin, urgency, shortness of breath and dizziness",anemia
Patient reports sneezing,allergic_rhinitis
"increased thirst, frequent urination, weight loss and blurred vision for a week",diabetes
"I have sneezing, itchy eyes, nasal congestion",allergic_rhinitis
"mucus, persistent cough",bronchitis
"Complains of chest pain, shortness of breath, right lower abdominal pain, left arm pain and fever",heart_disease
"I have shortness of breath, dizziness, pale skin, fatigue",anemia
"runny nose, nasal congestion, itchy eyes, sneezing",allergic_rhinitis
"nausea, vomiting, stomach cramps, d",gastroenteritis
burning urination for 2 days,urinary_tract_infection
severe sleep disturbance,depression
"shortness of breath, night cough and wheezing for 2 days",asthma
"fractures, loss of height for several months",osteoporosis
"I have sneezing, nasal congestion, runny nose, itchy eyes",allergic_rhinitis
"severe headache, night cough, wheezing, chest tightness, shortness of breath",asthma
"Patient reports cough, sore throat, fever, body ache, fatigue, chills",influenza
"dizziness, headache and nosebleed",hypertension
"stomach cramps, diarrhea, vomiting",gastroenteritis
"ear drainage, fever",otitis_media
frequent urination,diabetes
"Complains of itchy eyes, persistent cough, sneezing for a week",allergic_rhinitis
"vomiting, stomach cramps, nausea, diarr",gastroenteritis
"fatigue, fever, chills, sore throat, body ache, cough",influenza
"hearing difficulty, fever, ear drainage",otitis_media
chest pain,heart_disease
"headache, dizziness, blurred vision, nosebleed",hypertension
"sore throat, fever, chills, cough and fatigue",influenza
I have nausea,gastroenteritis
"Patient reports fatigue, pale skin, shortness of breath, dizziness",anemia
vomiting,gastroenteritis
blurred vision,diabetes
"blurred vision, dizziness, headache, nosebleed",hypertension
visual aura and nausea,migraine
"persistent sadness, fatigue, sleep disturbance and rapid heartbeat",depression
"rapid heartbeat, restlessness, sweating, trembling",anxiety
nasal congestion,allergic_rhinitis
"fatigue, body ache, cough, fever, chills, sore throat",influenza
severe headache,migraine
nasal congestion and itchy eyes,allergic_rhinitis
trembling and rapid heartbeat,anxiety
"loss of interest, persistent sadness, fatigue",depression
"loss of taste, fever, dry cough, fatigue",covid-19
"left arm pain, chest pain, shortness of breath, sweating",heart_disease
"right lower abdominal pain, nausea, loss of appetite",appendicitis
"productive cough, chest pain, shortness of breath",pneumonia
ear pain,otitis_media
mild fever,pneumonia
"lower abdominal pain, frequent urination and urgency",urinary_tract_infection
"persistent sadness, sleep disturbance, loss of interest since yesterday",depression
"nausea, stomach cramps since yesterday",gastroenteritis
"visual aura, nausea, sensitivity to light, severe headache for several months",migraine
shortness of breath,heart_disease
"loss of interest, sleep disturbance, fatigue, persistent sadness",depression
"rapid heartbeat, sweating for a week",anxiety
red patches for 2 days,eczema
"Patient reports stomach cramps, diarrhea",gastroenteritis
"severe sweating, left arm pain, chest pain",heart_disease
"bone pain, back pain, fractures, loss of appetite, loss of height",osteoporosis
"fever, hearing difficulty, ear drainage, ear pain",otitis_media
"Complains of blurred vision, dizziness",hypertension
"left arm pain, diarrhea, stomach cramps, vomiting for 2 days",gastroenteritis
"moderate blurred vision, fatigue, weight loss",diabetes
"dry skin, itchy skin, red patches and ",eczema
visual aura,anemia
nosebleed and blurred vision,anemia
"headache, dizziness",hypertension
sweating,heart_disease
"ear pain, ear drainage, fever and hearing difficulty",otitis_media
"loss of interest, sleep disturbance, fatigue",depression
urgency,urinary_tract_infection
"itchy eyes, runny nose for 2 days",allergic_rhinitis
headache,hypertension
loss of height,osteoporosis
persistent cough for several months,bronchitis
"sneezing, persistent sadness, itchy eyes, runny nose, fatigue and nasal congestion for 2 day",allergic_rhinitis
"stomach cramps, vomiting, nausea",gastroenteritis
"fever, weight loss",diabetes
I have nausea,gastroenteritis
"fever, hearing difficulty, restlessness, ear drainage, ear pain",otitis_media
"urgency, burning urination",urinary_tract_infection
"I have shortness of breath, fever",pneumonia
chest tightness,asthma
trembling and restlessness,anxiety
moderate pale skin for 2 days,anemia
"Complains of shortness of breath, sweating",heart_disease
"itchy eyes, nasal congestion, sneezing",allergic_rhinitis
"Patient reports pale skin, fatigue and loss of height for a week",anemia
"I have fatigue, cough",influenza
"moderate stomach cramps, nausea, vomiting",gastroenteritis
"blisters, itchy skin, fever, dry skin for several months",eczema
"Complains of red patches, itchy skin, dry skin, blisters",eczema
shortness of breath,pneumonia
"dry skin, blisters, itchy skin, red patches since yesterday",eczema
"hearing difficulty, ear pain, ear drainage",otitis_media
"chest pain, shortness of breath, fever and vomiting",pneumonia
pale skin,anemia
trembling,anxiety
"nausea, fever",appendicitis
"fever, dry cough, loss of taste and fatigue",covid-19
"severe headache, nausea, sensitivity to light, visual aura",migraine
shortness of breath,anemia
"I have chest pain, dry skin",eczema
"chest pain, sensitivity to light, severe headache, visual aura, nausea",migraine
"itchy skin, red patches, blisters, dry skin",eczema
Patient reports runny nose,allergic_rhinitis
sore throat,gastroenteritis
lower abdominal pain,urinary_tract_infection
visual aura and sensitivity to light,migraine
"dizziness, headache, nosebleed since yesterday",hypertension
stomach cramps for 2 days,gastroenteritis
"itchy eyes, sneezing, nasal congestion",allergic_rhinitis
"shortness of breath, fever, shortness of breath, chest pain",pneumonia
loss of smell,covid-19
pale skin,anemia
"back pain, fatigue, fractures, loss of height, bone pain",osteoporosis
"urgency, lower abdominal pain, burning urination, frequent urination, ear pain",urinary_tract_infection
"Complains of loss of taste, fever, dry cough, loss of smell",covid-19
"persistent cough, shortness of breath, chest discom",bronchitis
"shortness of breath, chest pain and sweating",heart_disease
mild fever,pneumonia
"sneezing, runny nose, itchy eyes, nasal congestion",allergic_rhinitis
"trembling, restlessness",anxiety
"loss of height, fractures, loss of taste, bone pain",osteoporosis
"red patches, dry skin and itchy skin",eczema
fever,covid-19
"severe itchy eyes, sneezing, productive cough",allergic_rhinitis
"Complains of fatigue, cough and chi",influenza
"productive cough, fever",pneumonia
"nosebleed, blurred vision",hypertension
"Complains of rapid heartbeat, restlessness, trembling, sneezing, sweating",anxiety
"Patient reports moderate headache, dizziness",urinary_tract_infection
"I have severe fever, chest pain, fatigue, cough, sore throat, chills",influenza
"nasal congestion, itchy eyes, sneezing, increased thirst",allergic_rhinitis
"shortness of breath, nausea, diarrhea, stomach cramps, vomiting",gastroenteritis
"loss of appetite, right lower abdominal pain, nausea",appendicitis
"loss of height, fractures, back pain, nausea, bone pain",osteoporosis
"fatigue, rapid heartbeat, loss of smell, dry cough, loss of taste, fever for 2 days",covid-19
"sneezing, shortness of breath, runny nose, persistent cough",bronchitis
"chest discomfort, persistent cough since yesterday",bronchitis
itchy eyes,allergic_rhinitis
"sore throat, fatigue, body ache for 2 days",influenza
headache,hypertension
"Patient reports fatigue, dry cough, fever and loss of smell",covid-19
"mild cough, runny nose, nasal congestion, sneezing",common_cold
"loss of smell, dry cough, loss of taste",covid-19
"weight loss, blurred vision, increas",diabetes
dry skin for several months,eczema
"Complains of moderate persistent sadness, fatigue",depression
"nosebleed, blurred vision, headache",hypertension
"moderate mucus, shortness of breath, persistent cough, chest discomfort",bronchitis
"blurred vision, frequent urina",diabetes
nausea for a week,gastroenteritis
"nosebleed, dizziness, headache and blurred vision",hypertension
"chest tightness, wheezing and short",asthma
fractures,osteoporosis
"severe sensitivity to light, visual aura",migraine
"nasal congestion, sneezing, runny nose, itchy eyes",allergic_rhinitis
"blisters, red patches, dry skin",eczema
"sneezing, nasal congestion, runny nose",allergic_rhinitis
"Patient reports loss of height, back pain",osteoporosis
"Complains of persistent cough, mucus, shortness of breath, chest discomfort for several months",bronchitis
severe blurred vision,hypertension
"severe rapid heartbeat, sweating, trembling",anxiety
"pale skin, shortness of breath, fatigue, blurred vision, dizziness",anemia
"I have chest pain, productive cough",pneumonia
"trembling, chest pain",pneumonia
"I have fatigue, sore throat, cough, fever, body ache since yesterday",influenza
"chest pain, sweating, shortness of breath, left ",heart_disease
"mucus, persistent cough, shortness of breath, chest discomfort",bronchitis
"shortness of breath, fever and chest pain for a week",pneumonia
"blurred vision, headache, nosebleed, dizziness",hypertension
"visual aura, sensitivity to light, severe headache and nausea",migraine
"chest discomfort, persistent cough, shortness of breath",bronchitis
"ear pain, hearing difficulty",otitis_media
runny nose,allergic_rhinitis
"runny nose, sneezing, nasal congestion, itchy eyes for several months",allergic_rhinitis
"bone pain, fractures, back pain since yesterday",osteoporosis
"frequent urination, rapid heartbeat, increased thirst, fatigue, trembling, weight loss",diabetes
"fever, hearing difficulty and loss of appetite",otitis_media
fever since yesterday,influenza
"moderate runny nose, itchy eyes, nasal congestion, sneezing",allergic_rhinitis
"mild persistent cough, shortness of breath, chest discomfort, mucus",bronchitis
"shortness of breath, chest pain, sweating and left arm pain",heart_disease
"Complains of blurred vision, headache, nosebleed, dizziness",hypertension
"ear drainage, ear pain, hearing difficulty and fever for 2 days",otitis_media
"lower abdominal pain, burning urination, rapid heartbeat, trembling, urgency",urinary_tract_infection
"moderate sensitivity to light, nausea and visual aura",migraine
mild cough,eczema
"shortness of breath, fever",asthma
mucus for several months,bronchitis
"blisters, runny nose, mild cough and dry skin",eczema
"weight loss, fatigue",diabetes
"I have nausea, fever",appendicitis
"shortness of breath, night cough, persistent cough",bronchitis
"increased thirst, blurred vision, frequent urination, weight loss and fatigue",diabetes
"sore throat, chills, fatigue, fever, body ache, cough",influenza
"urgency, lower abdominal pain, frequent urination and burning urination",urinary_tract_infection
severe red patches,eczema
"fatigue, left arm pain",heart_disease
"fatigue, persistent sadness, loss of interest",depression
"bone pain, loss of height",osteoporosis
"mucus, persistent cough",bronchitis
severe fever,covid-19
"sweating, shortness of breath and chest pain for 2 days",heart_disease
I have right lower abdominal p,appendicitis
"urgency, frequent urination",urinary_tract_infection
"dizziness, pale skin, fatigue since yesterday",anemia
"left arm pain, chest pain, shortness of breath",heart_disease
"Complains of fever, fever, loss of appetite, ear drainage, hearing difficulty",otitis_media
"blurred vision, increased thirst and frequent urination",diabetes
"frequent urination, increased thirst and fatigue",diabetes
"chest discomfort, mucus, shortness of breath, persistent cough",bronchitis
"mild shortness of breath, sweating, left arm pain",heart_disease
Complains of ear pain,otitis_media
Patient reports chills,influenza
"fever, chills, fatigue, visual aura",influenza
"Patient reports headache, blurred vision, nosebleed",hypertension
"stomach cramps, vomiting, diarrhea, nausea",gastroenteritis
"itchy eyes, nasal congestion",allergic_rhinitis
